Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance: F9: Light, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Light, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Light, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Light, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Light, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Light, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Light, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Light, Sample, S1, Soluble_S59L-WT, 1","Abundance: F9: Heavy, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Heavy, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Heavy, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Heavy, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Heavy, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Heavy, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Heavy, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Heavy, Sample, S1, Soluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,P26039,Talin-1 [OS=Mus musculus],0,423.233,46,88,701,77,269.7,Tln1,2.103,1.858,0.0041993,0.073663163,168878396.9,144581069.3,117338005.9,191167332.9,84282767.88,63456817.5,44210604,70157995.13,309579858.3,348592759.8,315574793.3,350794987.4,100885153,85933171,141079893.3,178825832.1,,Primary focal segmental glomerulosclerosis (FSGS); Integrin-mediated cell adhesion; Focal adhesion,Platelet degranulation ; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins; Smooth Muscle Contraction; SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
FALSE,High,Master Protein,P56480,"ATP synthase F(1) complex catalytic subunit beta, mitochondrial [OS=Mus musculus]",0,411.847,78,30,4663,30,56.3,Atp5f1b,1.173,0.317,0.050287701,0.001464687,23807134175,20373490820,20117486228,19373649295,72669819655,68910170361,61736937925,67857897711,24973675556,22691895890,26382253037,23940426532,18145117884,19639797331,24160506771,23968988363,,Oxidative phosphorylation; Electron transport chain,Mitochondrial protein degradation; Mitochondrial protein import; Formation of ATP by chemiosmotic coupling; Cristae formation
FALSE,High,Master Protein,Q8CGC7,Bifunctional glutamate/proline--tRNA ligase [OS=Mus musculus],0,397.709,61,68,609,67,170,Eprs1,3.796,2.053,0.000286699,0.00667659,299598194,254349366.5,229238611.5,244942394.3,70813030.75,75582453.88,68473335.38,89307060,1179606863,931069389.8,1074509977,831339131.3,107097844.1,143611204.8,163668950.3,198029374,,Parkinson's disease,Transcriptional and post-translational regulation of MITF-M expression and activity
FALSE,High,Master Protein,Q60675,Laminin subunit alpha-2 [OS=Mus musculus],0,395.178,41,89,623,89,343.6,Lama2,0.483,0.44,0.007266614,0.003124749,247322090.6,223298653.6,358095198.5,172990510.8,467447211.8,587966908.5,642730563.4,442836158.8,110900154.5,116062268.6,135410583.6,109896751.6,232726302.1,228858257.1,237831383.9,239742983.3,,Focal adhesion: PI3K-Akt-mTOR signaling pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,Q9ESD7,Dysferlin [OS=Mus musculus],0,394.978,48,76,505,74,237.8,Dysf,0.355,0.135,0.000250297,0.000385667,1072622372,874289285.5,935236255.3,852970423,209235010.9,178057045.1,164656055.1,240711115.8,327477411.5,340239665.5,324776953.5,309284051,30911456.5,22073485.5,31079306.63,27716980.5,,,
FALSE,High,Master Protein,Q99KI0,"Aconitate hydratase, mitochondrial [OS=Mus musculus]",0,394.91,65,43,2082,43,85.4,Aco2,0.94,0.335,0.221107159,0.000564278,27687284375,22636613903,25221701892,24163378412,48139204674,50185737806,45496375380,52578150559,23602066853,20404663220,25882684630,23706252316,13661990395,15716767813,17722601823,18788377922,,TCA cycle,Mitochondrial protein degradation; Maturation of TCA enzymes and regulation of TCA cycle; Citric acid cycle (TCA cycle)
FALSE,High,Master Protein,P07724,Albumin [OS=Mus musculus],0,392.923,76,43,1664,43,68.6,Alb,2.851,3.22,0.000362586,0.000183419,4766102155,6279622606,3990907243,9123145402,2545031295,4299828444,2163677663,6267106855,13749101957,17689750779,14202766234,24922349923,7560192715,14988973394,7812340587,18646059117,,,Cytoprotection by HMOX1; Heme degradation; Scavenging of heme from plasma; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Aspirin ADME; Prednisone ADME; Recycling of bile acids and salts; Heme biosynthesis; Ciprofloxacin ADME; HDL remodeling
FALSE,High,Master Protein,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial [OS=Mus musculus]",0,391.959,78,40,1561,40,70.8,Acadvl,1.73,0.588,0.002690296,0.010928239,3490378436,2661306686,3033058562,3401984476,13135083402,12632851098,11516461937,12102553322,5493932474,4731433127,6384381283,5726150595,6170854492,6804303736,8316214492,7760540970,,Fatty acid beta-oxidation; Fatty acid beta-oxidation (streamlined); Mitochondrial long chain fatty acid beta-oxidation,Beta oxidation of palmitoyl-CoA to myristoyl-CoA
FALSE,High,Master Protein,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial [OS=Mus musculus]",0,378.423,64,36,1985,36,82.6,Hadha,0.864,0.34,0.033592704,0.000809893,13843873159,11834953995,13580143216,12046617461,30247455101,29051523604,27845315606,30291375715,10619044303,9713487876,12480117984,10946023497,8251260480,9353985873,10990736527,10843855617,,Fatty acid beta-oxidation; Fatty acid beta-oxidation (streamlined); Mitochondrial long chain fatty acid beta-oxidation,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Acyl chain remodeling of CL; Beta oxidation of palmitoyl-CoA to myristoyl-CoA; Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA
FALSE,High,Master Protein,Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial [OS=Mus musculus]",0,377.552,54,66,850,66,156.5,Lrpprc,2.493,1.224,0.000492952,0.109846788,743396270,646232134.5,604368412.2,709827356.6,1314854681,1370994093,982278000.5,1287649054,1862470255,1602633857,1873858300,1703743710,1337291898,1569280013,1600269271,1686599341,,TNF-alpha NF-kB signaling pathway,
FALSE,High,Master Protein,Q64727,Vinculin [OS=Mus musculus],0,376.373,74,66,863,66,116.6,Vcl,0.853,0.426,0.0361902,0.004132969,1650159317,1345469702,1292727918,1203985730,1227751175,1203164521,1316303744,1353679867,1130298183,1148171629,1103403845,1052554035,380821434.1,445823104.9,644326356.6,665424668.6,,Primary focal segmental glomerulosclerosis (FSGS); IL-3 signaling pathway; Regulation of actin cytoskeleton; Integrin-mediated cell adhesion; Focal adhesion,"Neutrophil degranulation; MAP2K and MAPK activation; Platelet degranulation ; Smooth Muscle Contraction; High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells; Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells; Regulation of CDH1 Function"
FALSE,High,Master Protein,P52480,Pyruvate kinase PKM [OS=Mus musculus],0,371.468,81,39,1291,39,57.8,Pkm,2.012,1.051,0.000666574,0.455659999,5224871934,5109276591,4255312164,4948460733,3236211424,3686084091,3151235841,4324829494,10580777030,10218055884,10438129196,9866489737,2913812548,3706173506,4219602518,4753812845,Met-loss [N-Term],Glycolysis and gluconeogenesis; Purine metabolism,Neutrophil degranulation; Pyruvate metabolism; Glycolysis; Regulation of pyruvate metabolism
FALSE,High,Master Protein,P38647,"Stress-70 protein, mitochondrial [OS=Mus musculus]",0,368.401,70,39,1262,39,73.4,Hspa9,1.848,0.909,0.001074821,0.367079391,3948257389,3018237421,2958867028,3058805375,3063559220,2910824494,2561558670,2887589507,7343824307,5543889283,6704697731,5565433726,2246692664,2441411129,2860325669,2847091751,,,Regulation of HSF1-mediated heat shock response; Complex I biogenesis; Mitochondrial protein degradation; Complex III assembly
FALSE,High,Master Protein,Q9JI91,Alpha-actinin-2 [OS=Mus musculus],0,367.071,69,51,984,37,103.8,Actn2,1.32,0.603,0.005187795,0.012303203,1628674857,1226352609,1274514475,794685817.5,855780328.9,901408563,1099100177,803134633.5,1919966184,1574936397,1758275650,1077655557,418441298.3,477582938.3,790589988.5,550623765.3,,Striated muscle contraction,"Platelet degranulation ; RAF/MAP kinase cascade; Striated Muscle Contraction; Unblocking of NMDA receptors, glutamate binding and activation"
FALSE,High,Master Protein,O70468,"Myosin-binding protein C, cardiac-type [OS=Mus musculus]",0,363.985,56,56,840,56,140.5,Mybpc3,2.117,0.734,0.002720326,0.035404112,834007940.8,520809950.5,669006343.8,432484419.8,1023785708,1159978153,1482317636,969368560.5,1381812294,1098458310,1613743377,919193379.3,580994640.3,821626848.4,1297252389,736320656,,,Striated Muscle Contraction
FALSE,High,Master Protein,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 [OS=Mus musculus],0,358.746,52,47,1036,31,112.9,Atp1a1,1.757,0.546,0.001031231,0.018439021,888720860.3,720301132.5,777382469.5,828179267.3,1681612055,1564195032,1294663205,1478348399,1488503473,1258780454,1608650336,1463232796,695365853.6,707466109.8,900384105,974965030.1,,Na/K-ATPase/Src signaling,Ion homeostasis; Ion transport by P-type ATPases
FALSE,High,Master Protein,P41216,Long-chain-fatty-acid--CoA ligase 1 [OS=Mus musculus],0,356.623,74,43,1319,42,77.9,Acsl1,0.663,0.432,0.00402652,0.004196924,5328889131,4371029782,5172238125,4185616736,9717669931,9226511755,8375474987,9618450058,3008972484,2725995974,3648308367,2958546382,3307745555,3621533371,4615875781,4571062421,Acetyl [N-Term],Fatty acid beta-oxidation; PPAR signaling pathway; Fatty acid biosynthesis; Fatty acid beta-oxidation (streamlined); Mitochondrial long chain fatty acid beta-oxidation; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Omega-3 / omega-6 fatty acid synthesis; Omega-9 fatty acid synthesis,Synthesis of very long-chain fatty acyl-CoAs; Linoleic acid (LA) metabolism; alpha-linolenic acid (ALA) metabolism
FALSE,High,Master Protein,Q8CAQ8,MICOS complex subunit Mic60 [OS=Mus musculus],0,348.989,70,47,1030,47,83.8,Immt,1.467,0.43,0.00152993,0.002653837,1543550013,1344205435,1353568172,1263482591,4047688836,3847658388,3350225290,3939709091,2081970499,1896503711,2109692061,1927735897,1436346415,1574748936,1823280088,1780547122,,,
FALSE,High,Master Protein,Q91VD9,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial [OS=Mus musculus]",0,345.452,73,39,1154,39,79.7,Ndufs1,1.059,0.395,0.278252371,0.00145834,2146380061,1850505407,1943020246,1841435289,7090006660,6625307574,6325820009,6563366260,2103109247,1814155324,2348732255,2107489420,2251243449,2378583203,2873842934,2847292393,,Oxidative phosphorylation; Electron transport chain,Mitochondrial protein degradation; Complex I biogenesis
FALSE,High,Master Protein,Q9WUB3,"Glycogen phosphorylase, muscle form [OS=Mus musculus]",0,344.802,65,55,1363,42,97.2,Pygm,2.477,1.295,0.000433516,0.072915801,1501968307,1418391785,1301617579,1508281535,2458187449,2444132878,2157311752,2566983756,3765287108,3410744678,3976805848,3691433495,2514054054,2941991102,3333610807,3578212164,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Glycogen metabolism,Glycogen breakdown (glycogenolysis)
FALSE,High,Master Protein,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial [OS=Mus musculus]",0,341.236,86,27,1378,27,41.8,Acaa2,0.922,0.303,0.24836337,0.001156443,3881941388,3298690383,3932289762,3356875742,19531139253,19351066366,19127976785,20167609440,2968082439,2822419972,3904859643,3472356646,4660332672,5491493480,7214107606,6541060895,Acetyl [N-Term],Fatty acid biosynthesis,Mitochondrial Fatty Acid Beta-Oxidation
FALSE,High,Master Protein,Q61316,Heat shock 70 kDa protein 4 [OS=Mus musculus],0,332.408,64,44,642,41,94.1,Hspa4,2.442,1.898,0.000524561,0.015471847,409647215,391017629.3,347653700.8,400434729.5,163448113.9,173603908.9,165978280.6,180582406.8,1031135256,926202422.3,1046937383,937227114.3,214159090.8,295317935.6,351461337.4,388211289.8,,,Regulation of HSF1-mediated heat shock response
FALSE,High,Master Protein,P13541,Myosin-3 [OS=Mus musculus],0,324.55,15,38,1304,2,223.7,Myh3,,,,,,,,,,,,,,,,,,,,,,Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,Q01853,Transitional endoplasmic reticulum ATPase [OS=Mus musculus],0,323.8,74,46,774,46,89.3,Vcp,2.792,2.265,0.000760419,0.004412716,1053460207,968167297.5,842594507.5,1066655235,520496544.8,539975323,480297204.8,577811107.5,2980248287,2668652354,2985523712,2652346685,952145947.8,1092408429,1403867479,1465309054,,IL-9 signaling pathway,Neutrophil degranulation; RHOH GTPase cycle; Ovarian tumor domain proteases; Neddylation; ABC-family proteins mediated transport; Translesion Synthesis by POLH; Hedgehog ligand biogenesis; KEAP1-NFE2L2 pathway; AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274); HSF1 activation; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Josephin domain DUBs; Protein methylation
FALSE,High,Master Protein,Q8BTM8,Filamin-A [OS=Mus musculus],0,323.232,36,68,521,58,281,Flna,2.347,0.988,0.009570381,0.880799421,93782188.81,138910030,61696195.56,94630322.31,134630347.5,87564104.25,102029100.5,123836117.6,212756398.1,241835932.4,221009923.5,229723137.5,92257364.13,69074041.44,136827150.8,153357078.5,Acetyl [N-Term],TNF-alpha NF-kB signaling pathway; Androgen receptor signaling pathway; Mapk signaling pathway; Focal adhesion,Platelet degranulation ; Cell-extracellular matrix interactions; RHO GTPases activate PAKs; GP1b-IX-V activation signalling
FALSE,High,Master Protein,Q8CI94,"Glycogen phosphorylase, brain form [OS=Mus musculus]",0,322.841,66,49,1126,37,96.7,Pygb,2.528,1.279,0.000558545,0.067839354,973139578,987211538.5,897062395.5,1002532096,1265218380,1237276810,1104098665,1361018977,2198851055,2449638829,2703325985,2581997126,1333705830,1424019200,1672735366,1935189375,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Glycogen metabolism,Neutrophil degranulation
