Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Insoluble_S59L-Treat) / (Light, Insoluble_S59L-Treat)","Abundance Ratio: (Heavy, Insoluble_S59L-WT) / (Light, Insoluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Insoluble_S59L-Treat) / (Light, Insoluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Insoluble_S59L-WT) / (Light, Insoluble_S59L-WT)","Abundance: F1: Light, Sample, I8, Insoluble_S59L-Treat, 4","Abundance: F3: Light, Sample, I7, Insoluble_S59L-Treat, 3","Abundance: F5: Light, Sample, I6, Insoluble_S59L-Treat, 2","Abundance: F7: Light, Sample, I5, Insoluble_S59L-Treat, 1","Abundance: F2: Light, Sample, I4, Insoluble_S59L-WT, 4","Abundance: F4: Light, Sample, I3, Insoluble_S59L-WT, 3","Abundance: F6: Light, Sample, I2, Insoluble_S59L-WT, 2","Abundance: F8: Light, Sample, I1, Insoluble_S59L-WT, 1","Abundance: F1: Heavy, Sample, I8, Insoluble_S59L-Treat, 4","Abundance: F3: Heavy, Sample, I7, Insoluble_S59L-Treat, 3","Abundance: F5: Heavy, Sample, I6, Insoluble_S59L-Treat, 2","Abundance: F7: Heavy, Sample, I5, Insoluble_S59L-Treat, 1","Abundance: F2: Heavy, Sample, I4, Insoluble_S59L-WT, 4","Abundance: F4: Heavy, Sample, I3, Insoluble_S59L-WT, 3","Abundance: F6: Heavy, Sample, I2, Insoluble_S59L-WT, 2","Abundance: F8: Heavy, Sample, I1, Insoluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,Q62234,Myomesin-1 [OS=Mus musculus],0,858.525,76,103,2534,103,185.3,Myom1,1.968,0.822,0.000485409,0.101579618,2955887946,1894247585,1862787998,1862841507,5766065141,7514117785,5874948920,6606427446,5349657022,3784836378,4117361365,3610215990,3866476557,5823601061,5865243922,5765486842,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Striated muscle contraction,
FALSE,High,Master Protein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 [OS=Mus musculus],0,790.446,45,162,1303,162,531.7,Dync1h1,3.379,2.016,0.000358777,0.026749501,301688485.6,145002775.6,166695142.1,112232879.2,132375867.9,198783809.8,214841702.8,188968810.3,1028029941,485893948,726618286.4,359207650.4,163762868.4,361123213.5,540524681,422855635.8,,,MHC class II antigen presentation; Neutrophil degranulation; COPI-mediated anterograde transport; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Recruitment of NuMA to mitotic centrosomes; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-independent Golgi-to-ER retrograde traffic; Aggrephagy; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; AURKA Activation by TPX2
FALSE,High,Master Protein,Q61554,Fibrillin-1 [OS=Mus musculus],0,738.515,51,98,1378,96,312.1,Fbn1,0.081,0.051,0.001843128,0.003475953,3755333451,1869300801,1561189366,1412221505,363531685.9,457052236.4,315230808.1,942521322.6,125004866.4,168089677.8,114089569,147481136.6,19169103.38,16999616,51575415.38,46032222,,Comprehensive IL-17A signaling,Integrin cell surface interactions; Degradation of the extracellular matrix; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; TGF-beta receptor signaling activates SMADs; Molecules associated with elastic fibres
FALSE,High,Master Protein,Q8VHX6,Filamin-C [OS=Mus musculus],0,724.177,55,109,1444,97,290.9,Flnc,2.888,2.033,0.000388471,0.007071603,1016612887,810031684.5,676631323.4,743190664.9,360367999.9,380111769.1,362243491.9,427510949,3080482985,2229697608,2406254302,2023916218,553385304.6,736330931.5,922139933,911772986.9,Acetyl [N-Term],,Cell-extracellular matrix interactions
FALSE,High,Master Protein,P70670,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form [OS=Mus musculus]",0,660.551,61,85,1388,85,220.4,Naca,3.337,2.756,0.000577692,0.001622701,477848303.3,352185851.8,386359640.3,760988670.5,364553513.5,477841828.3,343935779.9,451494229.4,1635319193,1145686054,1502099668,2046618619,849396409.8,1209498062,1226637662,1354689265,,,
FALSE,High,Master Protein,Q8VDD5,Myosin-9 [OS=Mus musculus],0,621.463,52,90,1230,69,226.2,Myh9,2.297,1.673,0.001141741,0.067360606,464875901.3,306765039.6,264130543,307327792.1,173704160.3,249957892.3,189019284.6,254204938.9,874642915.8,732125813.3,673201769.4,679604115.5,225638229.8,296237192,494133689.3,547938402.6,Met-loss+Acetyl [N-Term],Primary focal segmental glomerulosclerosis (FSGS),RHO GTPases activate PAKs; Regulation of actin dynamics for phagocytic cup formation
FALSE,High,Master Protein,Q9JI91,Alpha-actinin-2 [OS=Mus musculus],0,609.875,77,60,4627,44,103.8,Actn2,1.427,0.623,0.00447315,0.019588628,10170014633,7842035654,7456819866,9407710368,16060392396,18402474828,16502638130,18295366607,13146859024,11178064569,12114675252,13431457608,8738260385,10977894961,13910115845,11919164282,,Striated muscle contraction,"Platelet degranulation ; RAF/MAP kinase cascade; Striated Muscle Contraction; Unblocking of NMDA receptors, glutamate binding and activation"
FALSE,High,Master Protein,G3UW82,Myosin-2 [OS=Mus musculus],0,606.046,18,49,5751,2,223.1,Myh2,0.112,,0.054434905,,2826817.75,4241330.5,2697255.75,2182874.75,,,,,,53154520,54305600,,,,,,,,Regulation of actin dynamics for phagocytic cup formation
FALSE,High,Master Protein,O70468,"Myosin-binding protein C, cardiac-type [OS=Mus musculus]",0,602.304,66,67,3814,67,140.5,Mybpc3,2.21,0.756,0.00246223,0.025258174,9735318260,6194389741,5960551303,5336934241,14394198890,18912140122,16173638895,18330428645,16383911188,13584253112,14408339666,11885320692,9074984371,14122866731,14267841814,14029896707,,,Striated Muscle Contraction
FALSE,High,Master Protein,Q71LX4,Talin-2 [OS=Mus musculus],0,597.381,58,95,956,85,253.5,Tln2,0.549,0.271,0.003087187,0.000288965,527674340,326854732.4,317503999.4,383174815.4,243419052.6,340872322.1,302599633.9,433307558.1,223508944,193316636.2,172585889.1,212606391.9,56929934.81,83495822,90640325.13,131182471,,,
FALSE,High,Master Protein,P13542,Myosin-8 [OS=Mus musculus],0,591.569,20,48,5761,3,222.6,Myh8,0.049,0.038,0.000225285,0.00010957,45219052,41359136.5,47166424,46524347,41214826,46039035.5,63191470.5,59276685.5,1360335.625,2380165.25,2154536,2486749.5,1641488.5,1761640.125,2367391.25,1390849,,Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,Q61001,Laminin subunit alpha-5 [OS=Mus musculus],0,569.879,45,95,821,95,403.8,Lama5,0.325,0.141,0.02408884,0.000752893,763185725.4,372785490.2,415170795.1,369705086.9,83204908.24,85714435.5,91246146.25,172485199.9,136658429.2,86192023.58,189641932.8,204569258.8,11976976.13,11790241.25,16213949.13,15590880.38,,Primary focal segmental glomerulosclerosis (FSGS); Focal adhesion: PI3K-Akt-mTOR signaling pathway; Inflammatory response pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,P13541,Myosin-3 [OS=Mus musculus],0,502.564,16,40,4954,2,223.7,Myh3,,,,,,,,,,,,,,,,,,,,,,Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,Q61292,Laminin subunit beta-2 [OS=Mus musculus],0,478.136,63,81,1110,79,196.5,Lamb2,0.206,0.157,0.00013086,0.000141446,695087329.4,392909205.3,435178848.3,410535546.8,154537684.5,154780537.3,156727234,249378913.5,115034906.5,81689055.5,88497815.25,90979799.38,20417023.63,29349120.88,24310727.75,39880244.38,,Primary focal segmental glomerulosclerosis (FSGS); Focal adhesion: PI3K-Akt-mTOR signaling pathway; Inflammatory response pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,Q80XB4,Nebulin-related-anchoring protein [OS=Mus musculus],0,476.876,63,96,714,96,195.6,Nrap,3.431,1.379,0.000296067,0.13143702,412389734.1,297020408.6,248173522.4,277723852.4,162119272.3,247325821.8,166916874.4,189995976.9,1340473780,1075762869,1006291659,840869361.9,181620104.2,244475365.7,288201359.1,322738156.6,,,
FALSE,High,Master Protein,Q64727,Vinculin [OS=Mus musculus],0,470.332,71,67,1154,67,116.6,Vcl,0.764,0.304,0.025920426,0.000798465,1423948251,952216322.7,827026628.1,1405350771,1481759505,1564746652,2080782003,1568388520,861025645.6,772157589.4,693353001.2,1012773323,423654221.2,497538396.8,604952650.5,637855984.7,,Primary focal segmental glomerulosclerosis (FSGS); IL-3 signaling pathway; Regulation of actin cytoskeleton; Integrin-mediated cell adhesion; Focal adhesion,"Neutrophil degranulation; MAP2K and MAPK activation; Platelet degranulation ; Smooth Muscle Contraction; High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells; Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells; Regulation of CDH1 Function"
FALSE,High,Master Protein,P02468,Laminin subunit gamma-1 [OS=Mus musculus],0,468.757,51,63,1070,63,177.2,Lamc1,0.266,0.174,0.000845914,0.000200144,2170053134,1303419479,1493669883,1531611126,864453145.4,935523372.8,753386050.4,1159418225,440829604.5,366538777,374714428.5,495247940.8,136597645.6,145487496.4,145148272.9,247962163.5,,,
FALSE,High,Master Protein,Q68FD5,Clathrin heavy chain 1 [OS=Mus musculus],0,451.576,56,67,731,67,191.4,Cltc,2.443,1.869,5.64009E-05,0.035376791,302671469.5,195751534.6,191794625.9,103412454.9,52233069.13,55993551.44,118983452.8,83448421.63,764640963.5,462323493.5,499037376.5,241003828.5,57834049.13,112062769.6,237069799.8,146305142.2,Acetyl [N-Term],IL-7 signaling pathway; Kit receptor signaling pathway,"MHC class II antigen presentation; Recycling pathway of L1; Cargo recognition for clathrin-mediated endocytosis; Golgi Associated Vesicle Biogenesis; LDL clearance; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; VLDLR internalisation and degradation; RHOU GTPase cycle; RHOV GTPase cycle"
FALSE,High,Master Protein,O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 [OS=Mus musculus],0,450.952,51,48,1101,48,114.8,Atp2a2,1.74,1.356,0.000773661,0.072954558,1417875500,858397395.6,675476864.4,531063756.1,999109446.7,1667493088,1625290072,1061434219,2555470131,1406025077,1324880567,892515187,1031703929,2074253620,2764989094,1568116231,Acetyl [N-Term],Alzheimer's disease; Myometrial relaxation and contraction pathways; Calcium regulation in cardiac cells,Ion homeostasis; Ion transport by P-type ATPases; Reduction of cytosolic Ca++ levels
FALSE,High,Master Protein,O08638,Myosin-11 [OS=Mus musculus],0,440.086,43,70,772,53,226.9,Myh11,0.815,1.02,0.500425648,0.887481068,126417699.8,240716931.9,67911803.25,129133188,135090057.9,67981607.88,195808293.1,141223970.1,100572829.3,200080236,88861540.75,103174440,102002630.3,62839810,233912997.5,158882604.3,,,Smooth Muscle Contraction; RHO GTPases activate PAKs
FALSE,High,Master Protein,P57780,Alpha-actinin-4 [OS=Mus musculus],0,429.879,72,55,1262,35,104.9,Actn4,2.489,1.538,0.000424972,0.002852007,294876451.5,269298871.5,183840970.1,284611338.8,85761752.38,85801695.88,156190067,109613775.8,760204888.5,647282801.9,482726487.5,596428814.5,129630343.6,122914999.3,244465527.3,198473755.6,,Striated muscle contraction; Primary focal segmental glomerulosclerosis (FSGS),Platelet degranulation
FALSE,High,Master Protein,Q7TPR4,Alpha-actinin-1 [OS=Mus musculus],0,407.81,70,51,1858,27,103,Actn1,0.821,0.332,0.020239708,0.000806681,1702555705,1482284789,1388552298,1728247806,2557501046,2937700112,3231426872,3811096746,1152301980,1184829436,1170797176,1464207725,712699538.8,941046809.9,1315446267,1311158272,Acetyl [N-Term],Regulation of actin cytoskeleton; Integrin-mediated cell adhesion; Focal adhesion,Platelet degranulation ; RHOF GTPase cycle; RHOBTB2 GTPase cycle; RHOD GTPase cycle; Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
FALSE,High,Master Protein,P02469,Laminin subunit beta-1 [OS=Mus musculus],0,400.652,52,63,776,61,197,Lamb1,0.294,0.228,0.000479299,0.000221357,781173473.8,536757416.8,653705486.8,765145448.5,648808128,646109792.8,567684620.3,717152795,171310345.4,153707337.4,199591320.3,231114448.8,130322567.8,133531679.8,143230672.6,188806606.5,,Focal adhesion: PI3K-Akt-mTOR signaling pathway; Inflammatory response pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial [OS=Mus musculus]",0,393.295,62,34,1386,34,82.6,Hadha,0.945,0.364,0.197338935,0.000672244,5837149434,3199288351,3397339409,3100189955,7716478458,10561468664,11014152073,8733361836,4746938555,2879599305,3369758739,3099695536,2418339891,3598814619,4687554790,3404251922,,Fatty acid beta-oxidation; Fatty acid beta-oxidation (streamlined); Mitochondrial long chain fatty acid beta-oxidation,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Acyl chain remodeling of CL; Beta oxidation of palmitoyl-CoA to myristoyl-CoA; Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA
FALSE,High,Master Protein,P62737,"Actin, aortic smooth muscle [OS=Mus musculus]",0,376.194,85,26,6661,3,42,Acta2,0.86,0.289,0.056379293,0.001676557,771349379,455653370.5,481662216,572906745,1399758876,1413219519,1653748634,1504030267,524632253,414393186.5,415613212,490586395,310890624.5,364790442.5,615022528,485740148.5,,Striated muscle contraction; Comprehensive IL-17A signaling,Formation of the dystrophin-glycoprotein complex (DGC); Smooth Muscle Contraction; Regulation of CDH1 Function
FALSE,High,Master Protein,P56480,"ATP synthase F(1) complex catalytic subunit beta, mitochondrial [OS=Mus musculus]",0,366.199,77,27,1037,27,56.3,Atp5f1b,1.119,0.291,0.03622715,0.001990074,1449515972,968005527,503705736.7,804269867.8,2040414932,3026551390,2539037871,1593833341,1619470547,1048224352,648380822.9,901981545.3,445264665,738828655,897287742.5,554326900.3,,Oxidative phosphorylation; Electron transport chain,Mitochondrial protein degradation; Mitochondrial protein import; Formation of ATP by chemiosmotic coupling; Cristae formation
FALSE,High,Master Protein,Q02257,Junction plakoglobin [OS=Mus musculus],0,341.926,74,39,723,34,81.7,Jup,1.39,0.905,0.001340927,0.390091142,553439089.1,372230145.5,400485436.3,404107420.8,363143494.4,513571593.8,446388890.6,428887679.5,731608150.3,506237620.5,604386239.5,573748322.5,256331619.1,404610575,497925262,445954254,Acetyl [N-Term],Wnt signaling pathway,Neutrophil degranulation; RHOA GTPase cycle; RHOB GTPase cycle; Formation of the cornified envelope; RHOQ GTPase cycle; RHOC GTPase cycle; RHOH GTPase cycle; Degradation of CDH1; Adherens junctions interactions; Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; Regulation of CDH11 function; VEGFR2 mediated vascular permeability; Regulation of CDH1 Function
FALSE,High,Master Protein,P68134,"Actin, alpha skeletal muscle [OS=Mus musculus]",0,341.608,79,24,6283,2,42,Acta1,0.001,0.001,,,23739002,,20075349.88,16780264,18795050.25,23179601.13,,23221246,,,,,,,,,,Striated muscle contraction; Myometrial relaxation and contraction pathways; Comprehensive IL-17A signaling,Formation of the dystrophin-glycoprotein complex (DGC); Striated Muscle Contraction; Regulation of CDH1 Function
FALSE,High,Master Protein,P26039,Talin-1 [OS=Mus musculus],0,333.795,40,76,531,67,269.7,Tln1,3.749,4.02,0.001444557,0.001475826,51032844.5,33891355.94,25125430.97,40541281.13,22645487.19,21909745.94,21656783.5,28635328.25,183819668,132260491.1,124228001.8,114395968.9,71571612.56,94916682.25,123480579.6,106830835.5,,Primary focal segmental glomerulosclerosis (FSGS); Integrin-mediated cell adhesion; Focal adhesion,Platelet degranulation ; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins; Smooth Muscle Contraction; SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
FALSE,High,Master Protein,Q6URW6,Myosin-14 [OS=Mus musculus],0,332.633,45,70,576,64,228.4,Myh14,6.657,3.39,0.000517803,0.006810349,16426611.88,8295524.938,7255224.375,9737652.75,5473253.75,15742293.5,14954918.13,24571365.75,88423992.5,51574382.25,68474466.13,69420048.38,23007784.13,37914134.88,80490513.75,67177115,,,RHO GTPases activate PAKs
FALSE,High,Master Protein,Q9JKS4,LIM domain-binding protein 3 [OS=Mus musculus],0,330.303,62,30,1023,30,76.4,Ldb3,1.388,0.967,0.002527619,0.819750865,899528664.3,751664580.3,711805044.1,1111674156,1828668492,2131454022,1833349425,1765727217,1232067377,988697822,1110665877,1563691079,1506767565,1869970192,2185066009,1882434427,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],,
FALSE,High,Master Protein,Q0II04,Nebulette [OS=Mus musculus],0,316.617,71,33,760,33,52.2,Nebl,0.944,0.361,0.314680464,0.004437097,920061059.8,583119887.4,632492501.5,907851959.6,1734873361,2151580082,2014491184,1850448053,671634532.5,519780509.1,632989522.9,947847730.3,457675500.8,634369339.6,891497235,816309500.3,,,
FALSE,High,Master Protein,P48678,Prelamin-A/C [OS=Mus musculus],0,308.961,71,47,942,46,74.2,Lmna,0.699,0.406,0.001631402,0.002310602,1939311198,1361492464,1460674109,2060739487,730929105.8,816665730.4,905831743.3,1110629853,1248987764,996418245.3,1074764537,1374216966,262454741.8,263687462.4,431636946.8,509862782.6,Acetyl [N-Term],Adipogenesis genes; FAS pathway and stress induction of HSP regulation,Initiation of Nuclear Envelope (NE) Reformation; Depolymerization of the Nuclear Lamina; Breakdown of the nuclear lamina
FALSE,High,Master Protein,Q9CQ73,Plakophilin-2 [OS=Mus musculus],0,307.713,65,44,827,44,88,Pkp2,1.368,0.558,0.000848016,0.004356981,922636747.9,652366009.9,684836719.5,696564723.5,611943493.7,794329319.5,790984579,721891070.5,1218014395,876385923.4,1005935132,970488593.8,313882591.6,387093173.5,528663940,437503532.8,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],,Formation of the cornified envelope
FALSE,High,Master Protein,P60710,"Actin, cytoplasmic 1 [OS=Mus musculus]",0,304.443,84,24,3440,2,41.7,Actb,1.435,0.972,0.000521882,0.509525138,5907945,7446952,7383388,7966365,4493385.5,5206278,4975622.5,5742705,9183697,10439151,10449463,11590719,4446706,4970394,7375958,,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion,Cell-extracellular matrix interactions; Formation of the dystrophin-glycoprotein complex (DGC); Interaction between L1 and Ankyrins; Formation of annular gap junctions; RHOF GTPase cycle; Regulation of actin dynamics for phagocytic cup formation; DNA Damage Recognition in GG-NER; MAP2K and MAPK activation; RHO GTPases Activate Formins; Recycling pathway of L1; RHO GTPases activate IQGAPs; Clathrin-mediated endocytosis; Formation of the canonical BAF (cBAF) complex; Formation of the embryonic stem cell BAF (esBAF) complex; Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF); EPHB-mediated forward signaling; UCH proteinases; B-WICH complex positively regulates rRNA expression; Adherens junctions interactions; Formation of the non-canonical BAF (ncBAF) complex; Formation of the polybromo-BAF (pBAF) complex; VEGFA-VEGFR2 Pathway; RHO GTPases Activate WASPs and WAVEs; Regulation of CDH1 Function
